	0
290	ENSG00000187522
291	ENSG00000179611
292	ENSG00000182601
293	ENSG00000137947
294	ENSG00000107447
295	ENSG00000284649
296	ENSG00000167130
297	ENSG00000158955
298	ENSG00000267475
299	ENSG00000114204
300	ENSG00000236058
301	ENSG00000124177
302	ENSG00000171450
303	ENSG00000272948
304	ENSG00000257497
305	ENSG00000279354
306	ENSG00000160867
307	ENSG00000276842
308	ENSG00000135333
309	ENSG00000144791
310	ENSG00000264853
311	ENSG00000254553
312	ENSG00000147655
313	ENSG00000231307
314	ENSG00000108559
315	ENSG00000197134
316	ENSG00000261692
317	ENSG00000010379
318	ENSG00000166762
319	ENSG00000275464
320	ENSG00000172594
321	ENSG00000122390
322	ENSG00000265798
323	ENSG00000156411
324	ENSG00000110906
325	ENSG00000259431
326	ENSG00000236423
327	ENSG00000237879
328	ENSG00000247081
329	ENSG00000233491
330	ENSG00000268889
331	ENSG00000174099
332	ENSG00000228302
333	ENSG00000082805
334	ENSG00000154016
335	ENSG00000131831
336	ENSG00000234753
337	ENSG00000205609
338	ENSG00000178947
339	ENSG00000204420
340	ENSG00000186407
341	ENSG00000172172
342	ENSG00000159592
343	ENSG00000143028
344	ENSG00000215817
345	ENSG00000090889
346	ENSG00000107938
347	ENSG00000102468
348	ENSG00000245060
349	ENSG00000169570
350	ENSG00000103832
351	ENSG00000110002
352	ENSG00000233077
353	ENSG00000227110
354	ENSG00000101246
355	ENSG00000134216
356	ENSG00000279058
357	ENSG00000062725
358	ENSG00000170743
359	ENSG00000253736
360	ENSG00000239407
361	ENSG00000258359
362	ENSG00000007171
363	ENSG00000273428
364	ENSG00000115286
365	ENSG00000228830
366	ENSG00000248334
367	ENSG00000272872
368	ENSG00000134020
369	ENSG00000222005
370	ENSG00000272601
371	ENSG00000013016
372	ENSG00000228643
373	ENSG00000283057
374	ENSG00000181284
375	ENSG00000204616
376	ENSG00000178502
377	ENSG00000265148
378	ENSG00000220793
379	ENSG00000127663
380	ENSG00000179958
381	ENSG00000163291
382	ENSG00000231646
383	ENSG00000148671
384	ENSG00000224699
385	ENSG00000103995
386	ENSG00000108389
387	ENSG00000133704
388	ENSG00000021762
389	ENSG00000157379
390	ENSG00000108018
391	ENSG00000215452
392	ENSG00000106927
393	ENSG00000284773
394	ENSG00000156150
395	ENSG00000225721
396	ENSG00000151292
397	ENSG00000203645
398	ENSG00000053108
